Entity,Code,Year,Other renewables (including geothermal and biomass) - TWh,Biofuels consumption - TWh,Solar consumption - TWh,Wind consumption - TWh,Hydro consumption - TWh,Nuclear consumption - TWh,Gas consumption - TWh,Coal consumption - TWh,Oil consumption - TWh
India,IND,1965,0.0,0.0,0.0,0.0,56.67643,0.0,2.37252,413.40735,146.99513
India,IND,1966,0.0,0.0,0.0,0.0,59.185505,0.0,2.66327,412.41534,164.14967
India,IND,1967,0.0,0.0,0.0,0.0,66.229225,0.0,3.5587797,419.28525,169.36021
India,IND,1968,0.0,0.0,0.0,0.0,76.435425,0.0,3.9542,433.8247,189.77089
India,IND,1969,0.0,0.0,0.0,0.0,84.86436,2.0565786,4.74504,460.8412,227.92883
India,IND,1970,0.0,0.0,0.0,0.0,90.00013,3.7118735,6.328466,436.80887,226.89145
India,IND,1971,0.0,0.0,0.0,0.0,98.71657,2.758825,6.7062187,442.8722,243.33246
India,IND,1972,0.0,0.0,0.0,0.0,95.81544,2.620884,7.3559065,467.68307,262.38324
India,IND,1973,0.0,0.0,0.0,0.0,102.035866,5.54273,7.336656,461.44937,276.95908
India,IND,1974,0.0,0.0,0.0,0.0,98.18077,5.103826,8.303968,520.8561,271.54297
India,IND,1975,0.0,0.0,0.0,0.0,117.29943,6.081955,10.630812,559.9062,278.0928
India,IND,1976,0.0,0.0,0.0,0.0,122.709625,7.536608,12.914344,583.0348,293.2587
India,IND,1977,0.0,0.0,0.0,0.0,133.88286,5.2543077,13.792624,610.3462,315.044
India,IND,1978,0.0,0.0,0.0,0.0,166.10886,6.4205384,15.404812,590.66406,342.3745
India,IND,1979,0.0,0.0,0.0,0.0,160.17592,6.6588,19.158562,627.49286,369.47275
India,IND,1980,0.0,0.0,0.0,0.0,163.93954,6.9472227,11.331031,659.565,376.81616
India,IND,1981,0.0,0.0,0.0,0.0,174.70767,6.997383,19.781782,742.1424,405.65527
India,IND,1982,0.0,0.0,0.0,0.0,147.43451,6.119575,25.934563,733.90405,422.65634
India,IND,1983,0.0,0.0,0.0,0.0,142.0635,8.727919,30.85775,779.04803,444.35294
India,IND,1984,0.0,0.0,0.0,0.0,158.73842,11.461663,35.340595,818.31085,477.06702
India,IND,1985,0.0,0.0,0.0,0.0,153.21062,12.7909155,43.22828,857.39703,517.6358
India,IND,1986,0.0,0.0,0.0,0.0,155.44527,14.245568,60.40024,921.24005,544.25946
India,IND,1987,0.0,0.0,0.0,0.0,144.78168,15.098296,69.577,1011.6298,561.7667
India,IND,1988,0.0,0.0,0.0,0.0,161.4958,17.242657,81.50488,1085.5574,616.50073
India,IND,1989,0.0,0.0,0.0,0.0,187.38374,11.411504,96.904594,1179.941,667.7726
India,IND,1990,0.11998333,0.0,0.0,0.08960583,196.3354,18.145542,115.927345,1276.025,694.05817
India,IND,1991,0.30348694,0.0,0.0,0.3338736,218.57735,15.361639,129.10802,1357.8776,706.101
India,IND,1992,0.3811233,0.0,0.0,0.26160473,207.16887,18.170624,144.3469,1438.2565,744.1866
India,IND,1993,0.8045936,0.0,0.0,0.2802339,209.15523,17.66902,146.67085,1489.6254,752.0428
India,IND,1994,1.2139482,0.0,0.0,0.56561273,237.18634,14.032387,158.56918,1537.2871,808.2667
India,IND,1995,1.7997489,0.0,0.002986861,1.4680564,224.4972,21.606615,180.77829,1631.6134,901.3517
India,IND,1996,2.413781,0.0,0.017921139,2.5973601,204.20241,23.838755,197.31721,1678.4825,972.76135
India,IND,1997,3.1336806,0.0,0.017921139,2.9215052,207.61319,28.578918,214.52634,1755.3625,1039.8557
India,IND,1998,4.126013,0.0,0.017921139,3.1905913,247.30107,32.265713,235.42874,1813.659,1113.5074
India,IND,1999,5.382308,0.0,0.017921139,4.2758064,243.21074,36.115524,241.23369,1796.674,1219.4528
India,IND,2000,5.382308,0.6141667,0.020908,4.677957,227.65968,44.743122,253.62692,1911.1661,1277.5098
India,IND,2001,6.6051493,0.94730556,0.03264222,6.1252875,211.5882,53.248417,254.27748,1926.9531,1281.0958
India,IND,2002,6.831,1.0012778,0.038328055,6.0857697,200.0712,54.204597,265.54413,2012.7899,1324.2423
India,IND,2003,8.65898,1.0496666,0.046870552,7.553315,200.96754,50.48722,284.26898,2107.9834,1347.6937
India,IND,2004,10.580124,1.1092223,0.05239361,15.05787,289.99792,58.777546,306.69138,2243.5286,1426.8563
India,IND,2005,12.88098,1.1687777,0.05206194,17.15471,278.95374,48.708836,343.25635,2456.1133,1450.1283
India,IND,2006,17.834845,1.1824281,0.020486915,26.568398,320.4419,48.142445,358.77188,2549.8647,1532.0393
India,IND,2007,23.631887,1.1824281,0.16682972,33.03453,346.70337,48.38428,388.1026,2790.2725,1637.4816
India,IND,2008,29.693884,1.6553992,0.1770336,40.403576,323.63162,41.069977,399.87665,3020.762,1719.2587
India,IND,2009,37.16364,0.8655219,0.20945333,45.440216,296.9715,45.06526,491.08084,3268.2656,1806.7904
India,IND,2010,45.632557,1.4934192,0.31364027,54.00277,301.82782,61.47768,589.6162,3348.546,1848.4161
India,IND,2011,54.704803,3.1911583,2.281407,66.07612,363.32748,85.30224,602.85876,3478.864,1935.7648
India,IND,2012,63.639782,2.946153,5.7553225,75.21842,317.45135,87.19555,556.9909,3787.818,2051.6697
India,IND,2013,71.754364,3.4288185,9.3563595,81.7827,359.70886,87.11104,490.193,4009.7288,2065.6555
India,IND,2014,78.77083,2.9927528,13.298961,90.6326,376.55457,90.17042,485.01566,4401.073,2125.4941
India,IND,2015,97.7368,3.5916045,17.683079,88.17162,358.92618,98.992966,478.0684,4490.47,2296.0383
India,IND,2016,79.22082,7.59026,30.935793,116.32454,343.6824,97.354065,507.90982,4587.692,2514.2617
India,IND,2017,79.51202,5.467463,57.33638,140.06178,361.46524,95.54765,535.9986,4737.1567,2588.196
India,IND,2018,86.904854,10.54421,96.122734,159.5672,369.7484,99.14305,579.96277,4981.6016,2704.5122
India,IND,2019,100.591385,12.995578,121.96038,166.89456,427.20215,114.238106,592.4984,4989.023,2791.946
India,IND,2020,104.88108,12.18209,154.11977,158.69983,429.93338,112.43298,603.6012,4714.672,2537.8525
India,IND,2021,113.307915,19.676699,178.73424,178.18063,419.55264,110.275894,623.72705,5352.792,2588.8313
India,IND,2022,123.11374,28.015644,248.08994,182.61719,456.08032,115.569664,582.5085,5562.6577,2804.53
India,IND,2023,119.01045,34.336823,294.5991,213.28464,387.4861,120.15947,626.1031,6105.902,2936.9744
